# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	828
#@/user_id	4ef5143e-acfc-4ed9-b93f-e786562bc1fe
a 	啊	c=6 d=2.38283 t=828
dang nian 	當年	c=2 d=1.27944 t=657
dang nian shang xiao xue 	當年上小學	c=1 d=1 t=295
dang shi 	當時	c=1 d=1 t=347
dao shi 	倒是	c=4 d=2.60211 t=416
de 	的	c=29 d=7.01104 t=828
dei 	得	c=0 d=0.1 t=231
dei gen ta 	得跟他	c=1 d=1 t=232
deng 	等	c=1 d=1.07596 t=707
deng ban nian 	等半年	c=1 d=1 t=653
deng chang 	燈廠	c=2 d=1.20393 t=825
deng le 	等了	c=1 d=1 t=659
deng lu 	登錄	c=0 d=0.1 t=325
di guo shi dai 	帝國時代	c=1 d=1 t=291
di yi dai 	第一代	c=2 d=1.57695 t=501
dian 	點	c=1 d=1 t=668
dian chi 	電池	c=1 d=1 t=818
dian xin 	電信	c=1 d=1.0865 t=726
dian xin de 	電信的	c=1 d=1 t=698
dong xi 	東西	c=1 d=1 t=566
dou 	都	c=1 d=0.412258 t=828
dou bu jie yi 	都不介意	c=1 d=0.70822 t=828
dou bu xing 	都不行	c=1 d=1 t=431
dou cha bu duo 	都差不多	c=1 d=1 t=568
dou duo shao 	都多少	c=1 d=1 t=282
dou hai ting bu cuo de 	都還挺不錯的	c=1 d=1 t=370
dou shuai tui 	都衰退	c=1 d=1 t=264
dou yong 	都用	c=0 d=0.1 t=308
dou yong de 	都用的	c=1 d=1 t=309
du 	度	c=0 d=0.1 t=675
duan 	斷	c=1 d=1 t=736
dui 	對	c=1 d=1 t=506
dui a 	對啊	c=1 d=0.782705 t=828
dui bi 	對比	c=3 d=0.97531 t=828
duo 	多	c=1 d=0.451692 t=554
duo jiu 	多久	c=0 d=0.1 t=606
duo jiu huan yi ci 	多久換一次	c=1 d=1 t=607
duo le 	多了	c=1 d=0.457721 t=828
duo shao 	多少	c=0 d=0.1 t=281
duo tui 	多退	c=1 d=1 t=670
e xin 	噁心	c=0 d=0.1 t=743
en 	恩	c=1 d=0.826959 t=828
er yi 	而已	c=1 d=0.677057 t=828
fa 	發	c=1 d=1 t=610
fan chang 	反廠	c=1 d=0.774916 t=828
fan zheng 	反正	c=2 d=1.44867 t=828
fang hu 	防護	c=0 d=0.0657047 t=828
fang hu cuo shi 	防護措施	c=1 d=0.66034 t=828
fei 	飛	c=1 d=1 t=420
fei li pu 	飛利浦	c=1 d=1 t=402
fu dian shu 	浮點數	c=1 d=0.895834 t=828
fu wu 	服務	c=0 d=0.1 t=785
ga ji 	軋機	c=1 d=1 t=812
gan jue 	感覺	c=8 d=3.44538 t=813
gang chu 	剛出	c=0 d=0.1 t=347
gang chu bu jiu 	剛出不久	c=1 d=1 t=348
ge 	個	c=2 d=0.683697 t=828
ge ren 	個人	c=0 d=0.1 t=211
ge shi 	格式	c=0 d=0.1 t=206
ge shi bu zheng que 	格式不正確	c=1 d=1 t=207
ge zhong 	各種	c=2 d=1.22564 t=530
gei wo 	給我	c=2 d=1.625 t=617
gen 	跟	c=3 d=2.17412 t=674
gen ta 	跟他	c=0 d=0.1 t=231
geng gui 	更貴	c=1 d=1 t=355
geng xin 	更新	c=1 d=1 t=541
gong yi 	公益	c=1 d=1 t=793
gou 	夠	c=1 d=0.882497 t=828
gou pi 	狗屁	c=0 d=0.1 t=804
gou pi wang 	狗屁王	c=1 d=1 t=805
gou shi 	狗屎	c=1 d=1 t=410
gou tou 	狗頭	c=1 d=1 t=779
gu ge 	谷歌	c=1 d=1 t=329
gu ji 	估計	c=1 d=1.03465 t=442
guan gan 	觀感	c=1 d=1 t=681
guan shang xing 	觀賞性	c=1 d=1 t=275
gui yi 	詭異	c=1 d=0.467879 t=589
gui zhi 	硅脂	c=3 d=2.01526 t=828
gun lun 	滾輪	c=0 d=0.1 t=385
guo 	過	c=0 d=0.1 t=283
guo 	鍋	c=1 d=1 t=425
hai 	嗨	c=1 d=1 t=298
hai hao 	還好	c=1 d=1 t=682
hai jing chang 	還經常	c=1 d=1 t=301
hai ke yi 	還可以	c=1 d=0.631284 t=828
hai mei hao 	還沒好	c=1 d=1 t=763
hai shi 	還是	c=5 d=1.47549 t=828
hai ting 	還挺	c=0 d=0.1 t=338
hai ting bu cuo de 	還挺不錯的	c=1 d=0.960708 t=369
hai wan 	海灣	c=1 d=1 t=261
hai xing 	還行	c=4 d=1.45673 t=828
hai zhen 	還真	c=1 d=1 t=217
hao 	好	c=1 d=0.722527 t=828
hao 	號	c=1 d=0.918512 t=828
hao ba 	好吧	c=1 d=0.782705 t=828
hao kan 	好看	c=1 d=1 t=806
he 	和	c=1 d=0.820184 t=828
he xin 	核心	c=1 d=1 t=270
hei 	黑	c=1 d=0.759572 t=828
hei se 	黑色	c=0 d=0.1 t=622
hei se shi shen me 	黑色是什麼	c=1 d=1 t=623
hen 	很	c=0 d=0.256206 t=589
hen gui yi 	很詭異	c=1 d=1 t=590
hen hao 	很好	c=1 d=1 t=417
hen ku 	很酷	c=0 d=0.1 t=813
hen ku xuan 	很酷炫	c=1 d=1 t=814
hen kua zhang 	很誇張	c=1 d=1 t=587
hen shao 	很少	c=1 d=0.729789 t=828
hen xiang 	很香	c=1 d=1 t=662
hen zan 	很讚	c=1 d=1 t=384
heng yi 	橫移	c=1 d=0.860708 t=828
hong 	宏	c=2 d=2.02644 t=570
hong jing 	紅警	c=1 d=1.09608 t=303
hou 	後	c=0 d=0.1 t=654
huan 	換	c=2 d=1.94176 t=439
huan ge 	換個	c=1 d=1 t=544
huan jing 	環境	c=2 d=1.99005 t=614
huan le 	歡樂	c=1 d=1 t=426
huan yi ci 	換一次	c=0 d=0.1 t=606
huan yuan 	還願	c=2 d=1.99501 t=759
hui rong 	毀容	c=1 d=1 t=768
hui yuan 	會員	c=1 d=1 t=785
huo 	或	c=1 d=0.946485 t=828
ji ben 	基本	c=2 d=0.752014 t=828
ji cheng 	繼承	c=0 d=0.1 t=265
ji cheng le 	繼承了	c=1 d=1 t=266
ji ci 	幾次	c=1 d=0.822835 t=828
ji ge 	幾個	c=2 d=1.12873 t=631
ji kuan 	幾款	c=1 d=1 t=464
ji qi 	機器	c=1 d=1 t=747
ji shang 	繫上	c=0 d=0.1 t=497
ji shang sha dai 	繫上沙袋	c=1 d=1 t=498
ji shi zhan lve 	即時戰略	c=4 d=3.66587 t=286
ji shu 	技術	c=1 d=1.00889 t=720
ji shu xi jie 	技術細節	c=1 d=1 t=237
jia 	加	c=1 d=1 t=592
jia 	家	c=1 d=0.704688 t=828
jia ban 	加班	c=1 d=1 t=627
jia he 	加賀	c=1 d=0.980199 t=828
jian mao 	鍵帽	c=1 d=0.701173 t=828
jian pan 	鍵盤	c=3 d=1.63145 t=828
jian zhi shi 	簡直是	c=1 d=0.615697 t=828
jiao dian 	腳墊	c=1 d=1 t=606
jin 	僅	c=1 d=0.937067 t=828
jin shu 	金屬	c=0 d=0.1 t=385
jin shu gun lun 	金屬滾輪	c=1 d=1 t=386
jing cha 	警察	c=1 d=1 t=621
jing chang 	經常	c=1 d=0.67368 t=828
jing dian 	靜電	c=0 d=0.0729789 t=828
jing dian rong 	靜電容	c=2 d=1.47057 t=828
jing du 	精度	c=2 d=1.72767 t=828
jing li 	經理	c=1 d=1 t=778
jiu 	就	c=1 d=0.694197 t=828
jiu cha bu duo 	就差不多	c=1 d=1 t=658
jiu gan jin 	酒乾盡	c=1 d=1 t=496
jiu gan jue 	就感覺	c=1 d=1 t=497
jiu hao 	就好	c=0 d=0.0983942 t=828
jiu hao duo le 	就好多了	c=1 d=0.767206 t=828
jiu hao le 	就好了	c=1 d=1 t=819
jiu mei you 	就沒有	c=1 d=1 t=675
jiu shi 	就是	c=5 d=1.20708 t=828
jiu shi ge 	就是個	c=1 d=0.771052 t=828
jiu xing 	就行	c=1 d=0.865022 t=828
jiu you 	就有	c=0 d=0.1 t=709
ju ran 	居然	c=2 d=1.32732 t=828
ju shuo 	據說	c=1 d=1 t=437
jue de 	覺得	c=2 d=1.52205 t=810
jue jiao 	絕交	c=0 d=0.1 t=232
jue jiao le 	絕交了	c=1 d=1 t=233
ka man chou xiao cao 	卡慢丑小糙	c=1 d=1 t=745
kai fa 	開發	c=2 d=1.99005 t=613
kai fa zhe 	開發者	c=1 d=1 t=754
kai ji 	開機	c=1 d=1 t=522
kai yuan 	開源	c=1 d=1 t=331
kan 	看	c=1 d=0.790571 t=828
kan de 	看得	c=0 d=0.0733447 t=828
kan tian 	看天	c=0 d=0.1 t=280
kan tian shu 	看天書	c=1 d=1 t=281
kao yan 	考研	c=1 d=1 t=293
ke geng huan 	可更換	c=1 d=1 t=817
ke neng 	可能	c=0 d=0.1 t=709
ke neng jiu you 	可能就有	c=1 d=1 t=710
ke yi 	可以	c=1 d=0.815338 t=623
ken e 	齗齶	c=1 d=1 t=709
keng 	坑	c=1 d=1 t=243
keng can 	坑慘	c=1 d=1 t=395
keng le 	坑了	c=1 d=1 t=504
ku xuan 	酷炫	c=0 d=0.1 t=827
kua zhang 	誇張	c=0 d=0.1 t=586
kuai 	塊	c=1 d=0.603506 t=828
kuai che 	快車	c=0 d=0.1 t=321
kui she 	蝰蛇	c=1 d=1 t=468
kui si 	虧死	c=1 d=1 t=822
la ji 	垃圾	c=1 d=1 t=518
lai 	來	c=1 d=1.01901 t=705
lai hui 	來回	c=0 d=0.067368 t=828
lai hui pao 	來回跑	c=1 d=0.677057 t=828
lao ban ben 	老版本	c=1 d=1 t=450
lao de 	老的	c=1 d=1 t=600
lao gu dong 	老古董	c=1 d=1 t=828
le 	了	c=19 d=3.89329 t=828
le ba 	了吧	c=1 d=1 t=446
lei she 	鐳射	c=1 d=1 t=399
lei she 	雷蛇	c=3 d=2.06867 t=548
lei si yu 	類似於	c=1 d=0.778801 t=828
lei xing 	類型	c=1 d=0.944669 t=828
lei yun 	雷雲	c=2 d=1.94649 t=527
leng tian 	冷天	c=0 d=0.0644036 t=828
li 	裏	c=1 d=0.904837 t=828
li jie 	理解	c=0 d=0.1 t=251
li mian 	裏面	c=1 d=1 t=484
liang ge 	兩個	c=1 d=1 t=366
liang wei 	兩位	c=0 d=0.0913931 t=828
ling ren 	靈刃	c=1 d=1 t=551
liu 	流	c=12 d=4.10212 t=828
liu pi 	流批	c=1 d=1 t=573
lou 	漏	c=1 d=0.647265 t=828
lu you 	路由	c=1 d=1 t=238
luo ji 	羅技	c=2 d=0.937067 t=828
ma 	嗎	c=2 d=1.32792 t=672
ma 	嘛	c=3 d=1.50863 t=828
ma xi 	馬戲	c=0 d=0.0644036 t=828
ma xi leng tian he 	馬戲冷天和	c=2 d=1.29777 t=828
mai bao 	買爆	c=1 d=1 t=695
mai de 	買的	c=1 d=1.09418 t=661
mai le 	買了	c=0 d=0.1 t=364
man ba 	曼巴	c=3 d=2.40934 t=503
mao 	貓	c=1 d=0.701173 t=828
mao si 	貌似	c=2 d=1.10228 t=800
mao tou ying 	貓頭鷹	c=1 d=0.71177 t=828
me 	麼	c=0 d=0.1 t=761
mei 	沒	c=2 d=1.12336 t=691
mei ban fa 	沒辦法	c=2 d=1.18707 t=828
mei chu 	沒出	c=0 d=0.1 t=283
mei chu guo 	沒出過	c=1 d=1 t=284
mei ci 	每次	c=1 d=1 t=521
mei fan ying 	沒反應	c=1 d=1 t=616
mei jiu 	沒救	c=1 d=0.755784 t=828
mei shen me 	沒什麼	c=1 d=1 t=272
mei wan guo 	沒玩過	c=1 d=1 t=277
mei yong 	沒用	c=0 d=0.1 t=372
mei yong chu 	沒用出	c=1 d=1 t=373
mei you 	沒有	c=3 d=1.74276 t=801
mei zu 	魅族	c=2 d=1.93239 t=756
ming ling 	命令	c=0 d=0.1 t=287
ming ling yu zheng fu 	命令與征服	c=1 d=1 t=288
ming wen 	明文	c=1 d=1 t=328
ming xing 	明星	c=1 d=1 t=632
mo fang 	模仿	c=2 d=1.99501 t=739
mo ren 	默認	c=2 d=1.77009 t=828
mo shou zheng ba 	魔獸爭霸	c=1 d=1 t=290
mou kuan 	某款	c=1 d=0.97531 t=828
mu 	目	c=0 d=0.0937067 t=828
na 	那	c=0 d=0.0782705 t=828
na jiao 	那叫	c=0 d=0.1 t=408
na jiao yi ge 	那叫一個	c=1 d=1 t=409
na ke 	那顆	c=1 d=1 t=413
na ni de 	那你的	c=1 d=0.786628 t=828
na qu dong 	那驅動	c=1 d=1 t=553
na you 	哪有	c=1 d=1 t=625
nao chou 	腦抽	c=1 d=0.786628 t=828
neng 	能	c=0 d=0.117543 t=828
neng chao pin 	能超頻	c=1 d=0.778801 t=828
neng rang 	能讓	c=0 d=0.1 t=701
neng rang chu 	能讓出	c=1 d=1 t=702
neng wei 	能爲	c=1 d=0.941765 t=828
neng zheng chang yong 	能正常用	c=1 d=0.67032 t=828
ni 	你	c=1 d=0.369777 t=828
ni bu shi 	你不是	c=1 d=1 t=447
ni de 	你的	c=0 d=0.0782705 t=828
ni dei bei 	你得被	c=1 d=1 t=755
ni ke yi zou le 	你可以走了	c=1 d=1 t=624
ni ma de 	你媽的	c=2 d=0.814647 t=828
ni mai de 	你買的	c=1 d=1 t=650
ni men 	你們	c=1 d=1 t=604
ni yao 	你要	c=0 d=0.1 t=752
ni yao shi 	你要是	c=1 d=1 t=753
ni zhi yao 	你只要	c=1 d=0.856415 t=828
nian 	年	c=1 d=1 t=283
nian ling 	年齡	c=1 d=1 t=324
pai ban 	排版	c=1 d=1 t=235
pan duan 	判斷	c=2 d=1.71317 t=828
pao 	跑	c=0 d=0.067368 t=828
pei zhi 	配置	c=2 d=0.631284 t=828
pei zhong 	配重	c=2 d=0.787996 t=801
pei zhong kuai 	配重塊	c=1 d=1 t=802
pen 	噴	c=1 d=1 t=211
peng you 	朋友	c=0 d=0.1 t=228
pian yi 	便宜	c=2 d=1.98511 t=361
pin duan 	頻段	c=1 d=1 t=704
ping shi 	平時	c=1 d=1 t=305
qi ci 	其次	c=1 d=1 t=477
qi pa 	奇葩	c=0 d=0.1 t=729
qi shi 	其實	c=5 d=3.00953 t=678
qi ta 	其他	c=1 d=1 t=711
qian 	前	c=0 d=0.1 t=691
qian qi 	前期	c=1 d=1 t=273
qian she xiang tou 	前攝像頭	c=1 d=1 t=692
qian xing 	潛行	c=0 d=0.1 t=551
qian xing ban 	潛行版	c=1 d=1 t=552
qiang zhi 	強制	c=1 d=1 t=524
qing 	輕	c=1 d=1 t=474
qiong 	窮	c=1 d=1 t=652
qu 	去	c=1 d=0.878095 t=828
qu bie 	區別	c=0 d=0.1 t=373
qu bie lai 	區別來	c=1 d=1 t=374
qu dong 	驅動	c=3 d=2.53585 t=552
qu fen 	區分	c=0 d=0.1 t=675
qu fen du 	區分度	c=1 d=1 t=676
quan bu 	全部	c=1 d=1 t=205
quan shi jie 	全世界	c=1 d=1 t=729
que shi 	確實	c=2 d=1.17441 t=828
qun li 	羣裏	c=1 d=0.718924 t=828
ran hou 	然後	c=1 d=1 t=718
ren 	刃	c=1 d=1 t=550
ren ne 	人呢	c=0 d=0.1 t=233
ri chang 	日常	c=1 d=1 t=376
rong 	容	c=0 d=0.0729789 t=828
ru bi shi zhi 	如臂使指	c=1 d=1 t=494
ru guo 	如果	c=2 d=1.11248 t=687
ruo 	若	c=1 d=0.882497 t=828
san 	三	c=1 d=0.124047 t=828
san mu yun suan fu 	三目運算符	c=1 d=0.941765 t=828
san xing 	三星	c=1 d=1 t=321
sha bi 	傻逼	c=1 d=0.802519 t=828
sha dai 	沙袋	c=0 d=0.1 t=497
sha diao 	沙雕	c=1 d=0.726149 t=828
shang 	上	c=1 d=0.913931 t=828
shang jia 	商家	c=0 d=0.1 t=785
shang jia fu wu 	商家服務	c=1 d=1 t=786
shang wang 	上網	c=1 d=1 t=432
shao 	少	c=0 d=0.1 t=670
shao bu bu 	少不補	c=1 d=1 t=671
she xiang tou 	攝像頭	c=0 d=0.1 t=691
she zhi 	設置	c=2 d=1.74821 t=828
shei 	誰	c=1 d=1 t=260
shen me 	什麼	c=2 d=0.447504 t=622
shen me ren ne 	什麼人呢	c=1 d=1 t=234
shen ru 	深入	c=0 d=0.1 t=251
shen ru li jie 	深入理解	c=1 d=1 t=252
shi 	是	c=10 d=3.71679 t=828
shi a 	是啊	c=2 d=1.1028 t=811
shi gao 	石膏	c=1 d=0.618783 t=828
shi hou 	時候	c=2 d=1.39653 t=493
shi jian 	時間	c=1 d=1 t=201
shi jin 	使勁	c=1 d=0.873716 t=828
shi xiao 	失效	c=1 d=0.951229 t=828
shi yong 	是用	c=1 d=1 t=685
shi zhen de 	是真的	c=1 d=1.03263 t=517
shi zhen de can 	是真的慘	c=1 d=1 t=294
shou gan 	手感	c=2 d=1.61263 t=485
shou gan hao 	手感好	c=1 d=1 t=476
shou wang 	守望	c=0 d=0.1 t=201
shou wang xian fa 	守望憲法	c=1 d=1 t=202
shu 	書	c=0 d=0.1 t=280
shu 	鼠	c=0 d=0.1 t=381
shu biao 	鼠標	c=6 d=3.64343 t=605
shu biao dian 	鼠標墊	c=2 d=1.96561 t=430
shu fu 	舒服	c=1 d=0.565334 t=494
shu ru 	輸入	c=1 d=1 t=199
shu ru fa 	輸入法	c=1 d=0.67368 t=828
shu xing 	屬性	c=1 d=0.690734 t=828
shu zhi 	數值	c=1 d=0.940398 t=828
shu zhi lei xing 	數值類型	c=1 d=0.88692 t=828
shu zi 	數字	c=3 d=2.75721 t=828
shuai tui 	衰退	c=0 d=0.1 t=263
shuang 	爽	c=0 d=0.1 t=761
shuang fei yan 	雙飛燕	c=1 d=1 t=603
si le 	死了	c=0 d=0.1 t=695
sou gou 	搜狗	c=1 d=0.995012 t=828
sui ran 	雖然	c=1 d=1 t=683
suo ding 	鎖定	c=1 d=0.806541 t=828
suo yi 	所以	c=2 d=1.99005 t=725
ta ma 	他媽	c=0 d=0.1 t=510
ta ma de 	他媽的	c=1 d=1 t=519
te xiao 	特效	c=1 d=1 t=827
tiao chu lai 	跳出來	c=1 d=1 t=525
tiao jiao 	調教	c=1 d=1 t=407
tiao shi 	調試	c=2 d=1.66034 t=306
ting 	挺	c=0 d=0.1 t=743
ting bu cuo 	挺不錯	c=0 d=0.1 t=644
ting bu cuo de 	挺不錯的	c=1 d=1 t=645
ting e xin de 	挺噁心的	c=1 d=1 t=744
ting gui 	挺貴	c=0 d=0.1 t=348
ting gui de 	挺貴的	c=1 d=1 t=349
ting shuo 	聽說	c=2 d=1.8311 t=734
tong bing 	通病	c=1 d=1 t=436
tu biao 	圖標	c=1 d=1 t=795
tui wang 	退網	c=1 d=1 t=700
tuo fen 	脫粉	c=1 d=1 t=508
wai she 	外設	c=3 d=2.93124 t=247
wan 	玩	c=1 d=1.03753 t=491
wan fa 	玩法	c=1 d=1 t=271
wan guo 	玩過	c=0 d=0.1 t=276
wan hong jing 	玩紅警	c=1 d=1 t=296
wan quan 	完全	c=1 d=1 t=279
wan you xi 	玩遊戲	c=1 d=1 t=340
wang 	王	c=0 d=0.1 t=804
wang ba 	網吧	c=1 d=1 t=575
wang luo 	網絡	c=1 d=1 t=733
wei 	位	c=1 d=0.831104 t=828
wei 	爲	c=3 d=2.67032 t=828
wei le 	爲了	c=1 d=1 t=536
wei sha 	爲啥	c=1 d=1 t=209
wei shen me 	爲什麼	c=3 d=0.818731 t=828
wen 	穩	c=1 d=1 t=475
wen dang 	文檔	c=1 d=0.683861 t=828
wen jian 	文件	c=1 d=0.634448 t=828
wen ti 	問題	c=1 d=1 t=412
wo 	我	c=7 d=1.8498 t=828
wo bei 	我被	c=1 d=1 t=500
wo bu gan shuo 	我不敢說	c=1 d=1 t=514
wo bu shuo 	我不說	c=1 d=1 t=746
wo cai 	我才	c=1 d=1 t=534
wo cao 	我操	c=2 d=1.32303 t=761
wo de 	我的	c=3 d=2.27636 t=828
wo de yi si 	我的意思	c=1 d=0.847894 t=828
wo gan jiao 	我感覺	c=4 d=2.47956 t=646
wo ge ren 	我個人	c=4 d=2.73999 t=469
wo gei 	我給	c=0 d=0.0631284 t=828
wo gei bi ji ben 	我給筆記本	c=1 d=0.634448 t=828
wo gu ji 	我估計	c=1 d=1 t=231
wo hai shi 	我還是	c=1 d=1 t=809
wo ji de 	我記得	c=1 d=1 t=398
wo jue de 	我覺得	c=3 d=0.733447 t=828
wo kao 	我靠	c=1 d=1 t=350
wo mai le 	我買了	c=1 d=1 t=365
wo ta ma 	我他媽	c=1 d=0.798516 t=828
wo tian 	我天	c=1 d=1 t=255
wo xian zai 	我現在	c=1 d=0.955997 t=828
wo xuan ze 	我選擇	c=1 d=1 t=543
wo yi ban 	我一般	c=1 d=0.690734 t=828
wo yi wei 	我以爲	c=1 d=1 t=421
wo yong de 	我用的	c=1 d=1 t=799
wo yong guo 	我用過	c=1 d=1 t=333
wo you xi 	我遊戲	c=1 d=1 t=244
wo zai 	我在	c=1 d=1 t=574
wo zhe bian 	我這邊	c=1 d=1 t=215
wo zhi qian 	我之前	c=1 d=1 t=546
wo zi ji 	我自己	c=2 d=1.32628 t=684
wu xiao 	無效	c=1 d=0.687289 t=828
xi guan 	習慣	c=1 d=0.831104 t=828
xi jie 	細節	c=0 d=0.1 t=236
xi lie 	系列	c=1 d=1 t=325
xi tong 	系統	c=2 d=0.927743 t=828
xi wen le jian 	喜聞樂見	c=1 d=0.640824 t=828
xi wu 	習武	c=0 d=0.1 t=594
xi wu zhi ren 	習武之人	c=1 d=1 t=595
xia gao 	瞎搞	c=1 d=1 t=445
xian fa 	憲法	c=0 d=0.1 t=201
xian mu 	羨慕	c=1 d=0.995012 t=828
xian zai 	現在	c=8 d=1.82307 t=828
xian zhi 	閒置	c=1 d=1 t=218
xiang 	想	c=0 d=0.1 t=672
xiang bu dao 	想不到	c=1 d=1 t=713
xiang bu qi lai 	想不起來	c=0 d=0.0980199 t=828
xiang bu qi lai xing hao 	想不起來型號	c=1 d=0.985112 t=828
xiang cheng 	想成	c=1 d=0.794534 t=828
xiang duo le 	想多了	c=1 d=1 t=673
xiang mu 	項目	c=2 d=1.25032 t=609
xiao lang hao 	小狼毫	c=2 d=1.62134 t=828
xiao mu zhi 	小拇指	c=1 d=0.790571 t=828
xiao shu 	小數	c=2 d=1.02617 t=828
xiao xue 	小學	c=0 d=0.1 t=294
xin 	新	c=1 d=1 t=596
xin de 	新的	c=1 d=1 t=285
xin yong 	信用	c=1 d=1.1 t=791
xin yong dai 	信用貸	c=1 d=1 t=792
xin yong ka 	信用卡	c=1 d=1 t=788
xing 	行	c=1 d=0.900325 t=828
xing hao 	型號	c=0 d=0.0980199 t=828
xing ji zheng ba 	星際爭霸	c=1 d=1 t=289
